Ranking,Name,Team,PM,G
1,Oriol Boada,Saiyans FC,0,12
3,Alberto Bueno,Ultimate Móstoles,7,8
3,Roger Carbó,xBuyer Team,0,8
3,Pablo Hernández,Rayo de Barcelona,0,8
6,Javi Espinosa,Aniquiladores FC,8,7
6,Nando Quesada,Jijantes FC,0,7
6,Gerard Nolla,El Barrio,0,7
9,Juanma González,PIO FC,0,6
9,Mark Sorroche,Los Troncos FC,9,6
9,Cristian Ubón,Ultimate Móstoles,0,6
12,Ferran Corominas,Ultimate Móstoles,7,5
12,Fran Hernández,Kunisports,0,5
12,Carlos Corvo,PIO FC,0,5
12,Alejandro Ortega,Aniquiladores FC,8,5
12,Edgar Álvaro,Los Troncos FC,9,5
17,Joan Poch,Rayo de Barcelona,0,4
17,Marc Granero,1K FC,0,4
17,Dani Liñares,Saiyans FC,0,4
17,Bernat Rovira,Aniquiladores FC,8,4
17,Gilles Vidal,El Barrio,0,4
22,Nadir Louah,Porcinos FC,0,3
22,Feliu Torrus,Ultimate Móstoles,7,3
22,Abraham González,PIO FC,0,3
22,José 'Casi' Ruiz,Aniquiladores FC,8,3