Ranking,Name,Team,PM,Assist,KeyP
1,Javi Espinosa,Porcinos FC,12,10,5
2,Hugo Fraile,Porcinos FC,12,8,1
2,Pablo Beguer,xBuyer Team,14,8,7
2,Joan Verdú,Los Troncos FC,10,7,6
2,Mark Sorroche,Los Troncos FC,11,7,2
2,Marc Torrejón,1K FC,10,7,2
4,Joan Verdú,Los Troncos FC,10,7,6
5,Pablo Beguer,xBuyer Team,14,6,7
5,Hugo Fraile,Porcinos FC,12,6,1
7,Álvaro Arché,El Barrio,14,6,5
7,Alberto Bueno,Porcinos FC,12,5,7
8,Marc Briones,Porcinos FC,11,5,3
8,Alberto Bueno,Porcinos FC,12,5,7
8,Nadir Louah,Aniquiladores FC,13,5,6
8,Víctor Oribe,Saiyans FC,6,5,0
8,José Segovia,Jijantes FC,12,4,1
8,Marc Briones,Porcinos FC,11,4,3
8,Bernat Rovira,Aniquiladores FC,13,4,0
8,Gilles Vidal,El Barrio,14,4,2
8,Álvaro Arché,El Barrio,14,4,5
8,Marc Granero,1K FC,13,4,3
8,Ricardo López,1K FC,11,4,0
8,Fran Hernández,Aniquiladores FC,10,4,9
8,Nadir Louah,Aniquiladores FC,13,4,6
8,Víctor Mongil,Rayo de Barcelona,11,4,1
8,Tom Diawara,Jijantes FC,9,4,1
8,Víctor Oribe,Saiyans FC,6,4,0
12,Marc Granero,1K FC,13,4,3
12,Ferran Corominas,Kunisports,12,4,5
12,Marc Pluvins,PIO FC,12,4,1
12,Ricardo López,1K FC,11,4,0
12,Fernando Velillas,xBuyer Team,14,4,4
12,Víctor Mongil,Rayo de Barcelona,11,4,1
12,Tom Diawara,Jijantes FC,9,4,1
12,David López,Jijantes FC,12,4,0
12,Gilles Vidal,El Barrio,14,4,2
12,Edgar Álvaro,Rayo de Barcelona,10,4,1
12,Carles Planas,Los Troncos FC,10,4,0
20,David López,Jijantes FC,12,3,0
20,Roger Carbó,xBuyer Team,13,3,6
20,Edgar Álvaro,Rayo de Barcelona,10,3,1
20,Carles Planas,Los Troncos FC,10,3,0
20,Àlex Gutiérrez,Porcinos FC,5,3,0
20,Iñaki Villalba,Kunisports,12,3,2
20,Ferran Corominas,Kunisports,12,3,5
20,Nico Pareja,El Barrio,12,3,3
20,Carlos Corvo,PIO FC,12,3,1
20,Eric Jiménez,Rayo de Barcelona,11,3,5
20,Fernando Velillas,xBuyer Team,14,3,4
20,Nando Quesada,Jijantes FC,11,3,5
23,Iñaki Villalba,Kunisports,12,3,2
23,Fran Hernández,Aniquiladores FC,10,3,9
23,Nico Pareja,El Barrio,12,3,3
23,David Barral,1K FC,11,3,2
23,Roger Carbó,xBuyer Team,13,3,6
23,Bernat Rovira,Aniquiladores FC,13,3,0
23,Àlex Gutiérrez,Porcinos FC,5,3,0
23,Ian González,Los Troncos FC,9,3,3
31,José Segovia,Jijantes FC,12,2,1
31,Lucca Ribeiro,Saiyans FC,10,2,0
31,Juanma González,Ultimate Móstoles,9,2,1
31,Joel Bañuls,Ultimate Móstoles,12,2,1
31,Benjamín Sierra,Kunisports,12,2,2
31,Carlos Torrentbó,El Barrio,14,2,0
31,Marcos Guerrero,1K FC,13,2,4
31,Flavio Ruggeri,Porcinos FC,11,2,1
31,Román Alegre,Saiyans FC,8,2,2
31,Oscar Rivero,PIO FC,12,2,0
31,Ibai Gómez,Jijantes FC,2,2,1
31,Sergio 'Kun' Agüero,Kunisports,2,2,1
31,Martín Mantovani,El Barrio,13,2,4
31,Carlos Corvo,PIO FC,12,2,1
31,Augusto Fernández,Kunisports,8,2,1
31,Víctor Torres,PIO FC,12,2,0
31,Feliu Torrus,Ultimate Móstoles,12,2,2
31,Adri Gimeno,xBuyer Team,14,2,1
31,David Alba,Aniquiladores FC,12,2,1
31,Alexis García,xBuyer Team,7,2,0
31,Borja Fernández,1K FC,9,2,0
31,Emiliano Armenteros,Kunisports,1,2,0
31,Lulu Rodríguez,Saiyans FC,4,2,0
31,Agi Dambelley,Ultimate Móstoles,2,2,0
31,Jacobo Liencres,Porcinos FC,12,2,1
31,Cristian Ubón,Ultimate Móstoles,12,2,2
31,Pau 'ZZ' Ruiz,Aniquiladores FC,12,2,0
31,Pol Zapata,Aniquiladores FC,12,2,1
31,Joselete Blanco,Rayo de Barcelona,7,2,0
31,Pau Fernández,El Barrio,14,2,0
31,Aarón Ropero,PIO FC,12,2,1
31,Marc Pelaz,Los Troncos FC,11,2,2
32,Víctor Torres,PIO FC,12,2,0
32,Jacobo Liencres,Porcinos FC,12,2,1
32,Cristian Ubón,Ultimate Móstoles,12,2,2
32,Pol Zapata,Aniquiladores FC,12,2,1
32,Joel Macarulla,Aniquiladores FC,13,2,1
32,Pau Fernández,El Barrio,14,2,0
32,Marc Pelaz,Los Troncos FC,11,2,2
32,Mario Reyes,Aniquiladores FC,13,2,1
32,Ian González,Los Troncos FC,9,2,3
32,Juanma González,Ultimate Móstoles,9,2,1
32,Carlos Torrentbó,El Barrio,14,2,0
32,Marcos Guerrero,1K FC,13,2,4
32,Victor Hidalgo,xBuyer Team,14,2,1
32,Marc Pluvins,PIO FC,12,2,1
32,Ibai Gómez,Jijantes FC,2,2,1
32,Sergio 'Kun' Agüero,Kunisports,2,2,1
32,Augusto Fernández,Kunisports,8,2,1
32,David Barral,1K FC,11,2,2
32,Alexis García,xBuyer Team,7,2,0
32,Borja Fernández,1K FC,9,2,0
32,Agi Dambelley,Ultimate Móstoles,2,2,0
53,Joselete Blanco,Rayo de Barcelona,7,1,0
53,Sergi Aguilar,El Barrio,14,1,1
53,Gio Ferinu,Ultimate Móstoles,12,1,1
53,Álex Campuzano,Kunisports,7,1,2
53,Feliu Torrus,Ultimate Móstoles,12,1,2
53,David Alba,Aniquiladores FC,12,1,1
53,Dani Pérez,Saiyans FC,13,1,1
53,Jordi Ros,Jijantes FC,13,1,2
53,Pau 'ZZ' Ruiz,Aniquiladores FC,12,1,0
53,Xavi Olaechea,PIO FC,12,1,0
53,Oriol Boada,Saiyans FC,13,1,1
53,Sergio Sánchez,Ultimate Móstoles,9,1,2
53,Carlos Val,Kunisports,12,1,3
53,Iván López 'Cokita',1K FC,13,1,4
53,Aarón Ropero,PIO FC,12,1,1
53,Franky Purtí,Rayo de Barcelona,10,1,1
53,Daniel Pérez,xBuyer Team,13,1,0
53,Iu Morral,Los Troncos FC,10,1,1
53,Aleix Lage,Saiyans FC,13,1,0
53,Llur Genesca,Saiyans FC,10,1,0
53,Lucca Ribeiro,Saiyans FC,10,1,0
53,Joel Bañuls,Ultimate Móstoles,12,1,1
53,Benjamín Sierra,Kunisports,12,1,2
53,Josep Corderas,Los Troncos FC,9,1,0
53,Víctor Cócera,Kunisports,12,1,2
53,Joan Inés,Kunisports,12,1,4
53,Flavio Ruggeri,Porcinos FC,11,1,1
53,Román Alegre,Saiyans FC,8,1,2
53,Sergi Sauras,Jijantes FC,11,1,0
53,Oscar Rivero,PIO FC,12,1,0
53,Ruben G. Tremiño,Los Troncos FC,6,1,0
53,Uri Pons,Jijantes FC,13,1,1
53,Martín Mantovani,El Barrio,13,1,4
53,Diego de la Mata,Ultimate Móstoles,4,1,0
53,Mauricio del Castillo,Kunisports,7,1,1
53,Gerard Verge,Ultimate Móstoles,9,1,0
53,Alberto Lopo,PIO FC,11,1,0
53,Dani Liñares,Rayo de Barcelona,8,1,1
53,Gerard 'Hulk' Artigas,PIO FC,6,1,1
53,Gerard Nolla,El Barrio,7,1,0
53,Adrià Granell,Los Troncos FC,2,1,0
53,Fernando Marqués,1K FC,2,1,0
53,Carlos de la Nava,Saiyans FC,1,1,0
53,Aitor Vives,Ultimate Móstoles,2,1,0
53,Diego Capel,Porcinos FC,1,1,0
53,Antonio Pelegrín,Saiyans FC,1,1,0
53,Pablo Zabaleta,Kunisports,4,1,0
53,Emiliano Armenteros,Kunisports,1,1,0
53,Lulu Rodríguez,Saiyans FC,4,1,0
63,Sergi Aguilar,El Barrio,14,1,1
63,Nacho Berché,Rayo de Barcelona,11,1,0
63,Daniel Santiago,Rayo de Barcelona,11,1,0
63,Víctor Cócera,Kunisports,12,1,2
63,Joan Inés,Kunisports,12,1,4
63,Victor Hidalgo,xBuyer Team,14,1,1
63,Raúl Ledo,1K FC,13,1,1
63,Sergi Sauras,Jijantes FC,11,1,0
63,Ruben G. Tremiño,Los Troncos FC,6,1,0
63,Gio Ferinu,Ultimate Móstoles,12,1,1
63,Uri Pons,Jijantes FC,13,1,1
63,Cristian Valle,Porcinos FC,7,1,0
63,Diego de la Mata,Ultimate Móstoles,4,1,0
63,Mauricio del Castillo,Kunisports,7,1,1
63,David López,Saiyans FC,13,1,2
63,Gerard Verge,Ultimate Móstoles,9,1,0
63,Eric Jiménez,Rayo de Barcelona,11,1,5
63,Alberto Lopo,PIO FC,11,1,0
63,Dani Liñares,Rayo de Barcelona,8,1,1
63,Adrià Granell,Los Troncos FC,2,1,0
63,Fernando Marqués,1K FC,2,1,0
63,Carlos de la Nava,Saiyans FC,1,1,0
63,Aitor Vives,Ultimate Móstoles,2,1,0
63,Diego Capel,Porcinos FC,1,1,0
63,Antonio Pelegrín,Saiyans FC,1,1,0
63,Pablo Zabaleta,Kunisports,4,1,0
63,Dani Pérez,Saiyans FC,13,1,1
63,Marc Galvany,Saiyans FC,13,1,0
63,Xavi Garcia,Aniquiladores FC,12,1,0
63,Xavi Olaechea,PIO FC,12,1,0
63,Oriol Boada,Saiyans FC,13,1,1
63,Lluís Alsina,1K FC,13,1,4
63,Pol Lechuga,Ultimate Móstoles,12,1,0
63,Sergio Sánchez,Ultimate Móstoles,9,1,2
63,Bernat Juárez,El Barrio,13,1,0
63,Iván López 'Cokita',1K FC,13,1,4
63,Mario Reyes,Aniquiladores FC,13,1,1
63,Franky Purtí,Rayo de Barcelona,10,1,1
63,Iu Morral,Los Troncos FC,10,1,1
63,Aleix Lage,Saiyans FC,13,1,0
